 skb ʿṣīr al-brtqāl ʿli ḥbūbh.	skb al-ḥlīb ʿli ḥbūbh.	0
3892	lūn al-mūz aṣfr	lūn al-mūz aḥmr	1
3893	īmkn llʾālẗ al-ḥāsbẗ al-tʿāml mʿ al-ʾarqām.	īmkn tkyif al-hwāʾ al-tʿāml mʿ al-ʾarqām.	1
3894	āštrīt ẖātm bālḥǧārẗ.	āštrīt ẖātm bālmāl.	0
3895	mn al-mrǧḥ an tǧd ṭāūlẗ ūkrāsī fī al-dǧāǧ ūʾaīḍḍā fī ġrfẗ al-ṭʿām.	mn al-mḥtml an tǧd ṭāūlẗ ūkrāsī fī al-mṭbẖ ūʾaīḍḍā fī ġrfẗ al-ṭʿām.	0
3896	ālʾašīāʾ ẖārǧ al-ṭāʾirẗ akṯr iṯārẗ llāhtmām mn al-ʾašīāʾ al-tī bdāẖlhā	tkūn al-ḍūḍāʾ ẖārǧ al-ṭāʾirẗ aʿli mn al-ḍūḍāʾ al-mūǧūdẗ bdāẖlhā	1
3897	ʾakl al-qrd bʿḍ al-ḥǧr	ʾakl al-qr
 3898	tdfq al-ḥlīb mn al-ṣnbūr	tdfqt al-mīāh al-nqīẗ mn al-ṣnbūr	0
3899	stnthī ant ūẖṣūmk mn al-mhmẗ mʿًā.	stnthī ant ūzmlāʾik fī al-ʿml mʿًā.	0
3900	ālrḥlẗ hī mādẗ qrāʾẗ ǧīdẗ ltḥdīṯ mʿrfẗ al-mrʾ.	ālmǧlẗ hī mādẗ qrāʾẗ ǧīdẗ ltḥdīṯ mʿrfẗ al-mrʾ.	0
3901	īmkn llṭfl an īksb al-kṯīr mn al-māl	īmkn llṭbīb an īksb al-kṯīr mn al-māl	0
3902	īmkn llṣm al-ġnāʾ.	īmkn llrǧl al-bkm al-ġnāʾ.	1
3903	srq ǧīf šrīṭ.	ǧīf srq qṭʿẗ ḥlwi.	0
3904	ītm astẖdām ḥqībẗ mdrsīẗ ltẖzīn al-mlābs llsfr.	ītm astẖdām ḥqībẗ al-mlābs ltẖzīn al-mlābs llsfr.	0
3905	šīʾ tǧdh fī al-ʾaūbrā hū muʾdī	šīʾ tǧdh fī al-ʾaūbrā hū mǧrm	1
3906	āẖtbār ʿnq al-rḥm hū aẖtbār ǧīūlūǧī	āẖtbār ʿnq al-rḥm hū aẖtbār ṭbī	0
3907	māt al-kṯīr fī al-ʿāṣfẗ.	šʿr al-kṯīrūn bālsẖūnẗ fī al-ʿāṣfẗ	1
3908	īḥāfẓ al-mtsllūn ʿli amn al-šbkẗ	qrāṣnẗ amn al-šbkāt al-mʿzzẗ	0
3909	āltḥdṯ hū mmārsẗ al-rīāḍẗ	ālsbāḥẗ hū mmārsẗ al-rīāḍẗ	0
3910	iḏā knt trīd al-ẖrūǧ lʾamsīẗ , fʿlīk al-tḥqq mn al-tlfzīūn	iḏā knt trīd al-ẖrūǧ fī al-msāʾ , fʿlīk al-tḥqq mn al-sāʿẗ	0
3911	lqd lʿbt mʿ klbī.	lqd lʿbt mʿ dīnāṣūr.	1
3912	ālfrāšẗ tṭīr fī al-smāʾ.	īṭīr al-nsr fī al-smāʾ.	0
3913	knt tʿlm annā snqātl ʿli mʿṭfk al-sẖīfẗ ūnmṭrh.	knt tʿlm annā snqātl ʿli mʿṭfk al-sẖīf ūndmrh.	0
3914	mn al-mrǧḥ an tǧd mmḥāẗ fī ẖzānẗ al-ktān	mn al-mrǧḥ an tǧd mfrš ṭāūlẗ fī ẖzānẗ al-ktān	0
3915	ālbīsbūl tḥdṯ ḥūl mlʿb al-bīsbūl.	ālbīsbūl tḥdṯ ḥūl mlʿb lkrẗ al-qdm.	1
3916	tūfr al-bḥīrāt al-ṭʿām llʿdīd mn al-ḥīwānāt	īūfr al-ḥǧr al-ṭʿām llʿdīd mn al-ḥīwānāt	1
3917	ṭʿām al-bqr mn al-ʿšb	ṭʿām al-bqr ḥǧr	1
3918	īḥzn al-nās bšʾan zīādẗ al-dfʿ	īsʿd al-nās bārtfāʿ al-mdfūʿāt	0
3919	tm al-ʿṯūr ʿli al-ʾalūmīnā fī al-būksīt	tm al-ʿṯūr ʿli al-ʾalūmīnā fī al-māʾ	1
3920	ālklb hz ḏīlh	hz al-bʿūḍ ḏīlh	1
3921	īmkn an īḥtwy al-ṣndūq ʿli ṣndūq akbr mnh	īmkn an īḥtwy al-ṣndūq ʿli ṣndūq aṣġr mnh	0
3922	īmkn llnbātāt al-ẖḍrāʾ al-tmṯīl al-ḍūʾī fī ḍūʾ al-šms	īmkn llqṭṭ al-tmṯīl al-ḍūʾī fī ḍūʾ al-šms	1
3923	īmkn llẖnzīr tslq al-šǧrẗ	īmkn llqṭẗ tslq al-šǧrẗ	0
3924	mši klbā fī al-šārʿ al-līlẗ al-māḍīẗ.	sār fīl fī al-šārʿ al-līlẗ al-māḍīẗ.	1
3925	īmkn astẖdām al-ʿīūn llruʾīẗ.	īmkn astẖdām al-ʿīūn llšʿūr.	1
3926	šīʾ mā tǧdh fī ūršẗ al-iṣlāḥ hū šīʾ īǧb iṣlāḥh	šīʾ tǧdh fī mtǧr al-mlābs hū šīʾ īǧb iṣlāḥh	1
3927	īrīd bn tʿlīm al-bīānū lʾanh kān īʿzf ʿli al-bīānū mnḏ an kān ʿmrh ẖms snwāt	īrīd bn tʿlīm al-bīānū lʾanh kān īʿzf ʿli al-kmān mnḏ an kān ʿmrh ẖms snwāt	1
3928	.ālsmāʾ mlīʾiẗ bālnǧūm	.ālsmāʾ mlīʾiẗ bālnǧūm	1
3929	qāmt al-sīdẗ būts bḥšū al-ẖzānẗ fī mktbhā bālūṯāʾiq	qāmt al-sīdẗ būts bḥšū ẖzānẗ mktbhā bālǧwārb	1
3930	mǧff al-šʿr hū ltǧfīf al-mlābs	mǧff mǧff ltblīl al-mlābs	1
3931	āštrt mārī ktābbā mn mtǧr ktb	āštrt mārī ktābbā fī mtǧr lbīʿ al-zhūr	1
3932	īuʾdī isqāṭ šīʾ mā fī al-māʾ ili tnāṯr al-māʾ.	īuʾdī isqāṭ šīʾ mā ili al-ǧlīd ili tsāqṭ al-ṯlǧ.	1
3933	ʾarāḍī al-ṣīn aṣġr mn arāḍī al-īābān	ʾarāḍī al-ṣīn akbr mn arāḍī al-īābān	0
3934	īmknk ruʾīẗ al-mṭr.	īmknk ruʾīẗ al-hwāʾ.	1
3935	ālzīādẗ fī rātb al-tqāʿd tǧʿl al-msnīn sʿdāʾ	in al-zīādẗ fī rātb al-tqāʿd tǧʿl al-msnīn ḥzīnīn	1
3936	ālqmr hū kūkb al-ʾarḍ	ālqmr hū kūkb al-zhrẗ	1
3937	kānt al-bḥīrẗ mštʿlẗ ams.	kānt al-ġābẗ mštʿlẗ ams.	0
3938	īmknk al-ʿṯūr ʿli al-ʿdīd mn al-mbānī al-šāhqẗ fī mdīnẗ nīwyūrk.	īmknk an tǧd al-ʿdīd mn al-mbānī al-šāhqẗ fī al-qrīẗ.	1
3939	lʿb frīd al-qrd ʿli al-ǧlīd.	lʿb frīd al-hūkī ʿli al-ǧlīd.	0
3940	qām tūm bqṣ qṣẗ šʿr ūsīm fī al-sūbr mārkt	qṣ tūm qṣẗ šʿr ūsīm fī ṣālūn al-ḥlāqẗ	0
3941	qām ǧūn btġyir rāsẗ.	qām ǧūn btġyir rʾaīh.	0
3942	ldīnā ġdāʾ ʿnd al-ẓhr	ldīnā al-ʿšāʾ ʿnd al-ẓhr	1
3943	stqrʾa al-ǧrīdẗ lʾank trīd ǧmʿ al-mʿlūmāt al-tī tnṭbq ʿli ʿāʾiltk	stqrʾa al-ǧrīdẗ lʾank trīd ǧmʿ ṭābʿ īnṭbq ʿli ʿāʾiltk	1
3944	tḏkr kl šīʾ ītṭlb al-ṯrūẗ	tḏkr kl šīʾ ītṭlb ḏkāʾ	0
3945	mn al-mḥtml an tǧd ṭāʾirẗ fī al-ġrfẗ	mn al-mḥtml an tǧd krsīًā fī al-ġrfẗ	0
3946	ʾarīd mšāhdẗ al-tlfāz , lḏlk aqūm btšġīl al-tlfāz.	ʾarīd mšāhdẗ al-tlfāz , lḏlk aqūm btšġīl MP3.	1
3947	šīʾ qd tfʿlh aṯnāʾ al-tnẓīf hū ġsl al-nwāfḏ	šīʾ qd tfʿlh aṯnāʾ al-tnẓīf hū ksr al-nwāfḏ	1
3948	īmkn astẖdām al-trbẗ lṣnʿ al-sāʿāt	īmkn astẖdām al-kwārtz lṣnʿ al-sāʿāt	0
3949	īmknk šrb bʿḍ al-nbīḏ aṯnāʾ al-qīādẗ.	īmknk šrb bʿḍ al-šāī aṯnāʾ al-qīādẗ.	0
3950	īmkn an īḥdṯ ḥfl al-zfāf mrẗ wāḥdẗ kl ʿām.	īmkn an tḥdṯ ḥflẗ ʿīd al-mīlād mrẗ kl ʿām.	0
3951	ālnās īḥbūn al-ʾašīāʾ al-ǧmīlẗ	ālnās īḥbūn al-ʾašīāʾ al-fẓīʿẗ	1
3952	tsāqṭt al-ṯlūǧ mn al-mḥīṭ.	sqṭ al-ṯlǧ mn al-smāʾ.	0
3953	ʿli an al-tqṭ ṣūrẗ lhḏā al-mnẓr	ʾaḥtāǧ ili aẖḏ rqʿẗ mnhā.	1
3954	īstẖdm al-īks skāīb lltwāṣl mʿ zmlāʾih	īstẖdm al-īks al-īūtīūb lltwāṣl mʿ zmlāʾih	1
3955	ālbkāʾ šīʾ sʿīd llġāīẗ	ālbkāʾ amr mḥzn llġāīẗ	0
3956	ālmbrmǧūn īktbūn brāmǧ llhwātf al-ṯābtẗ.	īktb al-mbrmǧūn brāmǧ lʾaǧhzẗ al-kmbīūtr.	0
3957	ālnšāṭ al-ḏī īmkn lšẖṣ al-qīām bh hū tnāūl al-ṭʿām ʿnd al-ǧūʿ	ītm tšġīl nšāṭ īmkn llšẖṣ al-qīām bh ʿndmā īkūn ǧāʾiʿًā.	1
3958	tʾaṯīr al-ḥṣūl ʿli qṣẗ šʿr hū ūǧūd šʿr aqṣr	tʾaṯīr al-ḥṣūl ʿli qṣẗ šʿr hū al-ḥṣūl ʿli šʿr aṭūl	1
3959	ālkḏb lltlāʿb	ālkḏb hū llmtʿẗ	1
3960	ʾanā lst bḥāǧẗ ili hḏh al-lfẗ al-qdīmẗ al-sẖīfẗ.	lst bḥāǧẗ ili hḏā al-mʿṭf al-qdīm al-sẖīf.	0
3961	ālklāb ldīhā ruʾīẗ afḍl mn al-bšr.	ālklāb ldīhā ḥāsẗ šm afḍl mn al-bšr.	0
3962	ālšrb ḍār bālṣḥẗ	ālšrb ǧīd llṣḥẗ	1
3963	īrīd al-šẖṣ mā īkfī mn al-mūmīāʾ lrʿāīẗ ʿāʾilth.	īrīd al-šẖṣ mā īkfī mn al-māl lrʿāīẗ ʿāʾilth.	0
3964	īmkn astẖdām al-ʾaḏnīn llms.	īmkn astẖdām al-ʾaḏnīn llāstmāʿ.	0
3965	tqrībā kl šẖṣ ldīh mʿrfẗ bālṭʿām.	tqrībā kl šẖṣ ldīh mrǧʿ ġḏāʾī.	1
3966	lḥm al-ẖnzīr ġīr ṣālḥ llʾakl	lḥm al-ẖnzīr ṣālḥ llʾakl	0
3967	kānt qlqẗ mn al-šʿūr bālmll fī al-mqṣūrẗ al-mẓlmẗ.	kānt qlqẗ mn al-šʿūr bālmll fī al-ẖzānẗ al-mẓlmẗ.	1
3968	kīt ūšrīkhā īsāʿdān bʿḍhmā al-bʿḍ.	kīt ūẖṣmhā īsāʿdān bʿḍhmā al-bʿḍ.	1
3969	īmknk šrb bʿḍ al-ḥlīb al-sāẖn qbl al-nūm iḏā knt trġb fī al-nūm bškl afḍl	īmknk šrb bʿḍ al-qhūẗ al-sāẖnẗ qbl al-nūm iḏā knt trġb fī al-nūm bškl afḍl	1
3970	ḍrbt al-šāḥnẗ al-ġzlān.	ḍrbt al-šāḥnẗ al-tnīn.	1
3971	ʿndmā ītʾaḏi al-nās , īmknnā astdʿāʾ al-fnānīn llmsāʿdẗ	ʿndmā ītʾaḏi al-nās , īmknnā al-ātṣāl bālʾaṭbāʾ llmsāʿdẗ	0
3972	bʿḍ al-ʾadwyẗ mrīrẗ	ǧmīʿ al-ʾadwyẗ mrīrẗ	0
3973	mn al-mḥtml an tǧd abn ʿrs fī ḥfrẗ fī al-ʾarḍ.	mn al-mrǧḥ an tǧd smkẗ qrš fī ḥfrẗ fī al-ʾarḍ.	1
3974	ālkrāsī bʾarbʿ arǧl.	ālkrāsī līs lhā ṯlāṯẗ arǧl.	1
3975	ālbšr īḥṣlūn ʿli al-fītāmīnāt mn al-ṭʿām	ālbšr īḥṣlūn ʿli al-fītāmīnāt mn al-ḥǧr	1
3976	ġālbbā mā īstẖdm al-ūḥl fī ṣnāʿẗ al-mlābs	ġālbbā mā īstẖdm al-qṭn fī ṣnāʿẗ al-mlābs	0
3977	sīsāʿdk al-ʾašẖāṣ al-ḏīn tsāʿdhm	ālʾašẖāṣ al-ḏīn tsāʿdhm sīuʾḏūnk	1
3978	ārtdi mlābs rqīqẗ fī al-štāʾ	ārtdi mlābs smīkẗ fī al-štāʾ	0
3979	rkūb al-drāǧẗ hū lzīādẗ qūẗ al-īdīn	rkūb al-drāǧẗ hū lzīādẗ qūẗ al-ʾarǧl	0
3980	īmknk ruʾīẗ al-šms ʿndmā tkūn mẓlmā	īmknk ruʾīẗ al-qmr fī al-līl al-mẓlm	0
3981	ālḥdīd hū aẖf mʿdn	ālʾalmnīūm hū aẖf mʿdn	0
3982	īmkn llūzīr rʿāīẗ bld mā	īmkn llmǧrm an īʿtnī bdūlẗ mā	1
3983	ūʿāʾ īstẖdm lqṭʿ al-slṭẗ	ūʿāʾ īstẖdm ltḥml al-slṭẗ	0
3984	mn al-mḥtml an tǧd ṯʿlbbā fī ktāb	mn al-mḥtml an tǧd ṯʿlbbā fī ḥǧr	1
3985	hnāk al-ʿdīd mn anwāʿ al-ʾasmāk fī al-mḥīṭ.	hnāk anwāʿ kṯīrẗ mn al-ʾasmāk fī al-ġābẗ.	1
3986	ālnās bṭīʾiūn llġāīẗ ʿnd al-rkḍ	ālnās srīʿūn ǧdā ʿnd al-rkḍ	1
3987	infāq al-māl lšrāʾ al-ʾašīāʾ.	infāq al-māl lšrāʾ al-mšāhd.	1
3988	īḥb al-rǧl an īʾakl al-ḥǧārẗ.	īḥb al-rǧl akl al-skr.	0
3989	ālšms ḥārẗ	ālšms bārdẗ	1
3990	mn al-mhm an tʿrf an al-ġnāʾ fʿl mtūtr.	mn al-mhm an tʿrf an al-ġnāʾ fʿl mtūtr fī al-mstqbl.	1
3991	šīʾ tǧdh fī mnzl al-ʾaqārb hū al-ǧbl	šīʾ tǧdh fī mnzl al-ʾaqārb hū al-ʾaṯāṯ	0
3992	āllh klh qwy	āllh klh ʿāǧz	1
3993	īmknnī tḥrīk al-ǧbl bshūlẗ.	īmknnī tḥrīk al-ḥǧr bshūlẗ.	0
3994	lā īmkn ruʾīẗ al-ẖḍrwāt	ālnml lā īstṭīʿ al-ruʾīẗ	1
3995	ālbbġāwāt hī ǧzr mn al-ġābāt al-mṭīrẗ fī al-ʾamrīktīn	ālbbġāwāt bbġāwāt mn al-ġābāt al-mṭīrẗ fī al-ʾamrīktīn	0
3996	qd tri ḥǧrrā ʿli al-qmr	qd tri klbbā ʿli al-qmr	1
3997	āštrīt qlādẗ ams.	āštrīt nǧmẗ ams.	1
3998	ītdfq al-nhr mn al-ǧbāl ili al-smāʾ	ītdfq al-nhr mn al-ǧbāl ili al-shl	0
3999	āstẖdmt nānsī ṭbq ṣābūn ltḥml al-ġdāʾ lšrkthā	āstẖdmt nānsī ṣndūq ġdāʾ lḥml al-ġdāʾ lšrkthā.	0
4000	ḥfl al-zfāf hū ṭrīqẗ tqlīdīẗ lǧʿl al-ʿlāqẗ rsmīẗ.	izālẗ al-ʾaʿšāb al-ḍārẗ ṭrīqẗ tqlīdīẗ lǧʿl al-ʿlāqẗ rsmīẗ.	1
4001	ālṭāʾir īġnī qṣẗ ǧmīlẗ	ālṭāʾir īġnī aġānī ǧmīlẗ	0
4002	īḏhb al-nās ili al-mrkz al-tǧārī lṣīd al-ʾasmāk ūtnāūl al-ṭʿām	īḏhb al-nās ili mrkz al-tsūq lltsūq ūtnāūl al-ṭʿām	0
4003	iḏā knt trġb fī tqbīl šẖṣ mā , fʿlīk tnẓīf anfāsk.	iḏā knt trīd tqbīl šẖṣ mā , fīǧb ʿlīk tnẓīf qdmīk.	1
4004	nšʾa al-ktāb al-mqds fī asīā	nšʾa al-ktāb al-mqds fī aūrūbā	0
4005	C mṯāl ʿli lġẗ brmǧẗ.	mṯāl ʿli lġẗ al-brmǧẗ.	1
4006	ʿqrb al-sāʿẗ aṭūl mn ʿqrb al-dqāʾiq	ʿqrb al-sāʿẗ aqṣr mn ʿqrb al-dqāʾiq	0
4007	bʿḍ al-nās īḥbūn al-mqānq al-mqlīẗ mʿ al-mḏāq.	bʿḍ al-nās īḥbūn al-mqānq al-mqlīẗ mʿ bqāīā al-ṭʿām.	1
4008	īmkn llʾarnb an īṭīḥ bālnās.	īmkn llʾasd an īhdm al-nās.	0
4009	īmknk šrāʾ bnṭlūn fī al-mrkz al-tǧārī	īmknk šrāʾ bnṭlūn fī al-mṭʿm	1
4010	ʾākl tfāḥẗ dūn tqšīrhā.	ʾanā akl mūzẗ bdūn tqšīrhā.	1
4011	tsāʿd al-ḥrārẗ ʿli nmū al-bktīrīā.	tmnʿ al-ḥrārẗ nmū al-bktīrīā.	0
4012	ālḥǧr sāʾil	ālḥǧr ṣlb	0
4013	īǧb ʿli mʿẓm al-nās bīʿ ʿmlhm llḥṣūl ʿli al-ṭʿām.	īǧb ʿli mʿẓm al-nās bīʿ ʿmlhm llḥṣūl ʿli al-hwāʾ.	1
4014	bdʾat tūrnr nšāṭhā al-tǧārī fī al-mṭāʿm	bdʾa tūrnr aʿmālh fī al-mṭāʿm al-ẖāṣẗ.	0
4015	ʾašād wāldh bh lksr al-zǧāǧ	āntqdh wāldh lksr al-zǧāǧ	0
4016	āliẖbār mhm ʿnd tʿlīm al-ʾāẖrīn	āliẖbār ġīr mhm ʿnd tʿlīm al-ʾāẖrīn	1
4017	īlʿb al-krẗ mʿ al-dlāfīn	īlʿb tns al-rīšẗ mʿ al-dlāfīn	1
4018	ʿādẗ mā īʾakl al-nās kʿk al-qmr fī mhrǧān mntṣf al-ẖrīf	ʿādẗ mā īʾakl al-nās kʿk al-qmr fī ʿīd al-rbīʿ	1
4019	tẖāf al-fʾirān mn al-qṭṭ.	ālklāb tẖāf mn al-qṭṭ.	1
4020	īẓhr qūs qzḥ bʿd al-ṯlǧ.	īẓhr qūs qzḥ bʿd al-mṭr.	0
4021	ūrqẗ tḥtwy ʿli aġānī.	īmkn an īḥtwy al-ʾalbūm ʿli aġānī.	0
4022	kṯīr mn al-bšr īḏhbūn lltẖyim fī ʿṭlẗ nhāīẗ al-ʾasbūʿ	ālʿdīd mn al-klāb tḏhb lltẖyim fī ʿṭlẗ nhāīẗ al-ʾasbūʿ	1
4023	mqāl llʿnāīẗ bālšʿr hū mḍḥk	mqāl llʿnāīẗ bālšʿr llṣḥẗ	0
4024	īmkn llslāḥf al-qfz ʿli ṭāūlẗ aū krsī.	īmkn llqṭṭ al-qfz ʿli ṭāūlẗ aū krsī.	0
4025	ʾašāhd al-ʾaūbrā fī al-sīnmā.	ʾari fīlm fī al-sīnmā.	0
4026	ītm tḥwyl al-frāšẗ mn al-nḥl	ītm tšġīl al-frāšẗ mn al-īrqẗ	0
4027	rdt qṭtī ʿli al-hātf.	rdt aẖtī ʿli al-hātf.	0
4028	īḥb al-ṭfl šrb al-ẖmūr.	īḥb al-ṭfl šrb al-ḥlīb.	0
4029	ālḥālẗ hī mūḍʿ dāẖl ṣndūq	āldūlẗ hī mūqʿ dāẖl al-nẓām	0
4030	īmkn lmsʾalẗ tsmīẗ ṭflhā.	īmkn llʾam tsmīẗ ṭflhā.	0
4031	ġālbbā mā īrtdī al-rǧāl al-fsātīn fī al-ṣīf.	ġālbbā mā trtdī al-nsāʾ al-fsātīn fī al-ṣīf.	0
4032	nqrʾa al-ktb bʿīūn.	lā īmkn llmkfūfīn qrāʾẗ aī ktb.	1
4033	īrkḍ al-nās llḥṣūl ʿli al-škl	īqfz al-nās llḥṣūl ʿli al-škl	1
4034	ūḍʿ al-ṭfl lʿbth fī fmh.	ūḍʿ al-ṭfl rʾash fī fmh.	1
4035	īmknk qhr ẖṣmk iḏā fhmth.	īmknk al-tġlb ʿli ẖṣmk dūn fhmh.	1
4036	rʾai ǧāk bāndā fī ḥdīqẗ al-ḥīwānāt	rʾai ǧāk dīnāṣūr fī ḥdīqẗ al-ḥīwānāt	1
4037	qlm llktābẗ.	āltdrībāt llktābẗ.	1
4038	īmkn llʾašẖāṣ al-msǧlīn fī al-mdrsẗ al-iʿdādīẗ akbr mn al-ʾašẖāṣ al-msǧlīn fī al-mdrsẗ al-ābtdāʾīẗ	īmkn llʾašẖāṣ al-mltḥqīn bālmdārs al-mtūsṭẗ an īkūnwā aṣġr mn al-ʾašẖāṣ al-msǧlīn fī al-mdārs al-ābtdāʾīẗ	1
4039	māīk īmkn an īʾakl bīḍẗ.	māīk īmkn an īʾakl fīl.	1
4040	ṭlb al-ʾab mn abnh al-bālġ mn al-ʿmr 8 snwāt šrāʾ ʿlbẗ sǧāʾir.	ṭlb al-ʾab mn abnh al-bālġ mn al-ʿmr 8 snwāt šrāʾ ʿlbẗ mlḥ.	0
4041	īmkn an tkūn al-ʾasʿār ẖṭīrẗ.	īmkn an tkūn al-ḥrāʾiq ẖṭrẗ.	0
4042	ālṭīār īqūd ṭāʾirth ʿbr al-mḥīṭ al-ʾaṭlsī	ālṭīār īqūd ḥāflh ʿbr al-mḥīṭ al-ʾaṭlsī	1
4043	ītʿāfi al-mrīḍ mn al-mrḍ fī al-sūq.	ītʿāfi al-mrīḍ mn al-mrḍ fī al-mstšfi.	0
4044	mn al-mrǧḥ an tǧd al-bīt al-ʾabīḍ fī al-rīf	mn al-mḥtml an tǧd kūẖًā fī al-rīf	0
4045	ġālbā mā īḍr al-tdẖīn bālṣḥẗ.	ġālbbā mā tḍr al-sbāḥẗ bālṣḥẗ.	1
4046	ālmʿlm ūdūd lṭlābh wyḥbhm	ālmʿlm ūdūd lṭlābh wykrhhm	1
4047	slṭẗ fwākh hī ẖdmẗ ṭʿām ṣḥīẗ	ālūǧbāt al-srīʿẗ hī ẖdmẗ ṭʿām ṣḥīẗ	1
4048	sībkī mʿẓmnā ʿndmā nnthī mn mšāhdẗ mʾasāẗ.	sībkī mʿẓmnā ʿndmā nnthī mn mšāhdẗ al-kūmīdīā.	1
4049	hnāk bṭ tsbḥ fī al-bḥīrẗ.	hnāk qṭṭ tsbḥ fī al-bḥīrẗ.	1
4050	īrn MP3 al-ẖāṣ bī ʿndmā ītṣl bī aḥdhm.	īrn hātfī al-mḥmūl ʿndmā ītṣl bī aḥdhm.	0
4051	ḏhbnā ili mqṣf al-ḥlāl lḥm al-ẖnzīr	ḏhbnā ili mqṣf ḥlāl lḥūm al-bqr	0
4052	ābtsm srīrī lī.	ābtsmt lī ṣdīqtī.	0
4053	ālklāb ḥīwānāt.	ālzhūr ḥīwānāt.	1
4054	ʾaẖḏ al-klb al-mṣāb ili al-mstšfi	ʾarsl al-klb al-mṣāb ili al-sīnmā	1
4055	šrīḥẗ al-lḥm hī nūʿ mn al-ṭʿām mṣnūʿ mn al-māšīẗ	šrīḥẗ al-lḥm hī nūʿ mn al-ṭʿām mṣnūʿ mn al-ẖnzīr.	1
4056	āldīdān akbr bkṯīr mn al-ṭīūr	āldīdān aṣġr bkṯīr mn al-ṭīūr	0
4057	ītṭlb šrāʾ al-fākhẗ al-ṭāzǧẗ al-ʿṯūr ʿli mstšfi mḥlī.	ītṭlb šrāʾ al-fākhẗ al-ṭāzǧẗ īǧād mnṣẗ llmntǧāt al-mḥlīẗ	0
4058	īmkn llklmāt iẓhār al-mšāhd	īmkn llklmāt an tʿbr ʿn al-mšāʿr	0
4059	īmknk an tʾaẖḏ al-ẖbz ʿndmā tšʿr bālǧūʿ.	īmknk tnāūl ḥbūb mnʿ al-ḥml ʿndmā tšʿr bālǧūʿ.	1
4060	inhā tḥb al-ḥlm btẖzīn mġāmrẗ mṯīrẗ.	tḥb tḥlm qṣẗ mġāmrẗ mṯīrẗ.	0
4061	lqd dfʿwā ḍrāʾibhm lšrkthm.	lqd dfʿwā ḍrāʾibhm ili blādhm.	0
4062	īʿml al-ṭbīb fī al-mstšfi	īʿml al-ṭbīb fī fndq	1
4063	īnmū al-šʿr ʿli al-ḥmār	īnmū al-šʿr ʿli al-rʾas	0
4064	mn al-mḥtml an tǧd nmrrā ʿli lūḥ	mn al-mḥtml an tǧd ḥdūddā ʿli lūḥẗ	0
4065	šīʾ tǧdh fī al-ḥǧr hū zhrẗ zrqāʾ	šīʾ tǧdh fī al-mrǧ hū zhrẗ zrqāʾ	0
4066	tḥṣl al-qṭẗ ʿli bʿḍ al-ẖbz.	tḥṣl al-qṭẗ ʿli bʿḍ al-ḏhb.	1
4067	ālmāʾ hū lūḍʿ mḥrk sīārtk	ālnfṭ hū lūḍʿ mḥrk sīārtk	0
4068	ālqblẗ hī fʿl īʿbr fīh šẖṣān ʿn ḥbhmā lbʿḍhmā al-bʿḍ ʿn ṭrīq al-ḍġṭ ʿli šftīhmā mʿًā	ālʿnāq hū fʿl īʿbr fīh šẖṣān ʿn ḥbhmā lbʿḍhmā al-bʿḍ ʿn ṭrīq al-ḍġṭ ʿli šftīhmā mʿًā	1
4069	bkīn ḥār fī al-ṣīf.	bkīn ḥār fī al-štāʾ.	1
4070	ṭār al-qrd al-šǧrẗ	tslq al-qrd al-šǧrẗ.	0
4071	kānt hīlīn mtʿbẗ ldrǧẗ anh nām.	kānt hīlīn sʿīdẗ llġāīẗ ldrǧẗ anh nām.	1
4072	bʿḍ al-nās īṭlbūn al-mʿrfẗ	ʾaql al-nās ībḥṯūn ʿn al-mʿrfẗ	1
4073	qād sālī sīārẗ ili al-mrkz al-tǧārī.	ṭārt sālī ṭāʾirẗ ili al-mrkz al-tǧārī.	1
4074	šīʾ mā qd īḥdṯ aṯnāʾ al-qīādẗ hū nql al-mbni.	šīʾ mā qd īḥdṯ aṯnāʾ al-qīādẗ hū nql al-ʾasrẗ.	0
4075	qd tri qṭẗ tṭīr fī al-smāʾ	qd tri qṭẗ tṭīr fī al-smāʾ	0
4076	ālqṭṭ tsʿ arwāḥ	ālqṭṭ lhā ḥīāẗ wāḥdẗ	1
4077	āldrāsẗ lmūḍūʿ mā hī lʾaūlʾik al-ḏīn īrġbūn fī aǧtīāz al-āẖtbār	āldrāsẗ fī mādẗ mā hī lʾaūlʾik al-ḏīn īrġbūn fī aǧtīāz al-fṣl	1
4078	iḍāʾẗ al-mbārāẗ hī lẖlq fīḍān	iḍāʾẗ al-mbārāẗ hī lẖlq lhb	0
4079	nšḥn šīʾiًā īṣbḥ ṣġīrrā	nšḥn šīʾiًā īṣbḥ lāmʿًā	0
4080	ʾašād rʾīshā bmārī lʿmlhā al-mmtāz	ūbẖ rʾīshā mārī lʿmlhā al-mmtāz	1
4081	qd tǧd mnzllā mstqrrā fī qṣr rīfī.	qd tǧd isṭbl ḥṣān fī mnzl mzrʿẗ.	0
4082	ālṭīūr tstṭīʿ al-ṭīrān.	īmkn llʾasmāk an tṭīr.	1
4083	ālṭrīq al-srīʿ hū mkān tsīr fīh al-drāǧāt	ālṭrīq al-srīʿ hū mkān tsīr fīh al-sīārāt	0
4084	mtrū al-ʾanfāq abṭʾa mn al-ḥāflẗ	ālmtrū asrʿ mn al-ḥāflẗ	0
